feature_id,feature_name,importance,feature_category
5642246,STRING:regsetvalueexa,0.00038885433682814556,STRING
92,API:RegSetValueExA,0.00038701248385187756,API
4861159,STRING:getfiles,0.000385034570487665,STRING
5722271,STRING:setstdhandle,0.0003813308279438023,STRING
5491559,STRING:padpadp,0.000377375754955148,STRING
4862294,STRING:gettempfilenamew,0.00037724549191628127,STRING
5641710,STRING:regdeletevaluea,0.0003765336807956562,STRING
5445105,STRING:operator,0.00037572319148258045,STRING
5721444,STRING:setbkcolor,0.00036660428067791296,STRING
6443490,DROP:TYPE:ascii_text,0.000363461590694633,DROP
5382756,STRING:ntdll.dll,0.00036273313138047975,STRING
5031901,STRING:iswindowvisible,0.0003616457608817256,STRING
3914518,STRING:<dependency>,0.0003611043534795844,STRING
98,API:UuidCreate,0.0003607879025351239,API
39484,REG:OPENED:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,0.0003586339474804906,REG
3790169,STRING:9ldict,0.000358205381990131,STRING
6457217,"DROP:TYPE:pe32+_executable_(dll)_(gui)_x86-64,_for_ms_windows",0.0003548743725110277,DROP
5920401,STRING:uvwatauavawh,0.0003533872168564203,STRING
5031896,STRING:iswindow,0.00035271504990278755,STRING
4525101,STRING:cmd.exe,0.0003504769863590069,STRING
4604965,STRING:desktop.ini,0.00034817795302803976,STRING
5526377,STRING:pssssss,0.0003449308958669885,STRING
3889568,STRING:</body>,0.0003446403255250271,STRING
2875351,"STRING:  <trustinfo xmlns=""urn:schemas-microsoft-com:asm.v3"">",0.00034437286595916805,STRING
114,API:GetFileVersionInfoSizeW,0.00034336720390594814,API
5233839,STRING:lookup,0.00034037267260317707,STRING
239745,REG:READ:HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\DevicePath,0.0003394277518965996,REG
5239853,STRING:lstrcpya,0.0003394165078392721,STRING
2636843,DIRECTORY:ENUMERATED:c:\documents and settings\*.*,0.0003367508051473594,DIRECTORY
159,API:ioctlsocket,0.00033034565055942703,API
4531998,STRING:context,0.0003295740919397233,STRING
1026936,FILE:EXISTS:c:\,0.00032159898109970227,FILE
5212101,STRING:lca<e3,0.00032059652626200194,STRING
4427117,STRING:bad allocation,0.00031816292602482836,STRING
134,API:SetWindowsHookExW,0.0003123247943319197,API
2643483,DIRECTORY:ENUMERATED:c:\perflogs\admin\*.*,0.00031178551664897943,DIRECTORY
186,API:RemoveDirectoryA,0.0003116522130580028,API
4612344,STRING:dispatchmessagea,0.00031024856803468196,STRING
6468163,SIGNATURE:injection_modifies_memory,0.00030862913555122366,SIGNATURE
5721816,STRING:setfilepointerex,0.00030756306906301855,STRING
31844,REG:OPENED:HKEY_CURRENT_USER\Software\Borland\Delphi\Locales,0.00030739026683317204,REG
131181,REG:OPENED:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318},0.00030507995598832386,REG
157319,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\AllowFileCLSIDJunctions,0.00030476021914678313,REG
4693015,STRING:enumprocesses,0.0003032416055747376,STRING
178,API:FindResourceA,0.00030159306490500597,API
3310099,STRING:- abort() has been called,0.00030018350838174695,STRING
6052560,STRING:writeconsolew,0.00029627669854889505,STRING
5742347,STRING:special,0.0002930457854566602,STRING
4691338,STRING:enablewindow,0.0002924592633421901,STRING
4434794,STRING:beginpaint,0.00028539487627102385,STRING
4710093,STRING:exe(;2d,0.0002820921334087151,STRING
6457209,"DROP:TYPE:pe32+_executable_(console)_x86-64,_for_ms_windows",0.0002783826015417887,DROP
6412705,SYSTEM:DLL_LOADED:cfgmgr32.dll,0.00027703777114902164,SYSTEM
2625820,DIRECTORY:CREATED:c:\users\administrator\appdata\local\microsoft\windows\wer\reportarchive,0.0002769181868340126,DIRECTORY
6434638,DROP:EXTENSION:png,0.0002746601338712126,DROP
5232303,STRING:locale,0.00027361716278985525,STRING
5749902,STRING:ssvwh ,0.00027325013875967216,STRING
3889369,STRING:</application>,0.00027148210939962036,STRING
5239844,STRING:lstrcata,0.00026903350011056294,STRING
5019674,STRING:initializearray,0.00026797738270483475,STRING
198,API:LoadStringA,0.0002668645436505743,API
2682340,DIRECTORY:ENUMERATED:c:\users\administrator,0.00026679761363553744,DIRECTORY
6468193,SIGNATURE:network_http,0.0002667416141932571,SIGNATURE
4068744,STRING:?da/b6h,0.00026379522016629523,STRING
5239849,STRING:lstrcmpia,0.0002619941110344065,STRING
5970268,STRING:virtualquery,0.00026109573069840557,STRING
4269561,STRING:__based(,0.0002596243456581724,STRING
147744,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Command Processor\CompletionChar,0.0002581087337835419,REG
4105504,STRING:@h??weldj;,0.0002570527986528844,STRING
3889646,STRING:</dependency>,0.00025644635360964245,STRING
4105775,STRING:@hnfhd,0.00025230459188686316,STRING
6468013,"DROP:TYPE:xml_1.0_document,_ascii_text,_with_very_long_lines,_with_crlf_line_terminators",0.0002518669724846446,DROP
6441505,DROP:EXTENSION:xml,0.0002501827542890463,DROP
4348644,STRING:a_a^a]a\_^],0.0002500847303311811,STRING
131375,REG:OPENED:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LDAP,0.0002494113779662898,REG
110219,REG:OPENED:HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E},0.00024539831236391514,REG
6468009,"DROP:TYPE:xml_1.0_document,_ascii_text,_with_crlf_line_terminators",0.00024474082950759994,DROP
4273145,STRING:_cicos,0.0002445887585354054,STRING
4860773,STRING:getconsolecp,0.00024063278590508508,STRING
5021727,STRING:interlockedexchange,0.00023674434984751662,STRING
5208338,STRING:labels,0.00023659385985370173,STRING
6438330,DROP:EXTENSION:ttf,0.0002318583901952402,DROP
